date,New Private Housing Units Authorized by Building Permits,state,msa,city,title,id,frequency,seasonal_adjustment
1988-01-01,216.173001619492,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-02-01,281.964541542728,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-03-01,234.17159211919,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-04-01,277.384034858946,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-05-01,238.69873031670602,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-06-01,265.392073395472,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-07-01,232.197223109392,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-08-01,240.912503945202,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-09-01,245.713785280281,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-10-01,254.48813853299802,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-11-01,256.644101275766,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1988-12-01,258.30240920618303,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-01-01,255.417767265485,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-02-01,227.475643044405,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-03-01,215.476426284012,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-04-01,190.874006046402,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-05-01,197.22917763419,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-06-01,218.301067098998,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-07-01,203.27748236378898,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-08-01,218.80241915092,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-09-01,219.448796187351,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-10-01,157.296419766093,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-11-01,247.526695565718,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1989-12-01,176.271681106529,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-01-01,260.415634435869,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-02-01,237.68774339553502,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-03-01,243.27613676772,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-04-01,253.36576583050498,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-05-01,271.281949326044,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-06-01,233.918263318056,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-07-01,269.087448951717,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-08-01,241.484853771591,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-09-01,226.404515049183,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-10-01,208.63724548205897,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-11-01,245.907665392057,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1990-12-01,179.462305750835,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-01-01,179.07097468237401,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-02-01,191.67464335098302,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-03-01,194.20179171087102,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-04-01,203.308393157021,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-05-01,203.127231346552,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-06-01,181.236814155275,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-07-01,188.55312595318298,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-08-01,197.831354584105,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-09-01,187.617318430057,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-10-01,207.147975584218,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-11-01,170.02066114863,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1991-12-01,224.94021024774503,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-01-01,204.886734709893,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-02-01,227.472120666827,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-03-01,230.369723625018,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-04-01,230.399282964782,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-05-01,238.159787962556,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-06-01,242.66309374611302,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-07-01,245.552694963022,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-08-01,238.117983384675,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-09-01,278.062129773524,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-10-01,255.164784950562,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-11-01,215.42701756195999,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1992-12-01,244.224533289029,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-01-01,233.747722310259,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-02-01,413.54277037495905,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-03-01,231.25215453872798,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-04-01,187.950772626493,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-05-01,173.64662473459802,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-06-01,213.510659021039,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-07-01,218.951553264078,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-08-01,211.610340113834,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-09-01,203.662636878034,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
1993-10-01,215.14869206082298,SC,"Charleston-North Charleston, SC",Charleston,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Charleston-North Charleston, SC (MSA)",CHAR745BP1FHSA,Monthly,Seasonally Adjusted
