date,Regional Price Parities,state,msa,city,title,id,frequency,seasonal_adjustment
2008-01-01,92.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2009-01-01,92.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2010-01-01,93.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2011-01-01,92.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2012-01-01,92.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2013-01-01,92.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2014-01-01,93.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2015-01-01,94.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2016-01-01,93.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2017-01-01,92.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2018-01-01,92.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2019-01-01,92.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Regional Price Parities: All Items for Bloomsburg-Berwick, PA (MSA)",RPPALL14100,Annual,Not Seasonally Adjusted
2008-01-01,96.1,SC,"Charleston-North Charleston, SC",Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
