date,Resident Population,state,msa,city,title,id,frequency,seasonal_adjustment
2010-01-01,85.653,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2011-01-01,85.448,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2012-01-01,85.474,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2013-01-01,85.601,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2014-01-01,85.553,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2015-01-01,85.001,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2016-01-01,84.412,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2017-01-01,83.893,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2018-01-01,83.45,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2019-01-01,83.201,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2020-01-01,82.884,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Resident Population in Bloomsburg-Berwick, PA (MSA)",BLBPOP,Annual,Not Seasonally Adjusted
2000-01-01,550.875,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2001-01-01,557.487,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2002-01-01,566.543,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2003-01-01,576.539,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2004-01-01,590.096,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2005-01-01,601.429,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2006-01-01,617.619,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2007-01-01,631.984,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
2008-01-01,647.194,SC,"Charleston-North Charleston, SC",Charleston,"Resident Population in Charleston-North Charleston, SC (MSA)",CRLPOP,Annual,Not Seasonally Adjusted
