id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,msa,city,state
ACTLISCOU35620,2021-12-07,2021-12-07,"Housing Inventory: Active Listing Count in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 16:44:06-06,1,1,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
ACTLISCOUMM35620,2021-12-07,2021-12-07,"Housing Inventory: Active Listing Count Month-Over-Month in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:08:31-06,1,1,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
ACTLISCOUYY35620,2021-12-07,2021-12-07,"Housing Inventory: Active Listing Count Year-Over-Year in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:06:21-06,1,1,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
AVELISPRI35620,2021-12-07,2021-12-07,"Housing Inventory: Average Listing Price in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2016-07-01,2021-11-01,Monthly,M,U.S. Dollars,U.S. $,Not Seasonally Adjusted,NSA,2021-12-06 18:05:08-06,3,3,The average listing price in a given market during the specified month.,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
AVELISPRIMM35620,2021-12-07,2021-12-07,"Housing Inventory: Average Listing Price Month-Over-Month in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:04:09-06,1,1,The average listing price in a given market during the specified month.,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
AVELISPRIYY35620,2021-12-07,2021-12-07,"Housing Inventory: Average Listing Price Year-Over-Year in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:05:25-06,2,2,The average listing price in a given market during the specified month.,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
CCDIOA35620Q156N,2021-12-07,2021-12-07,"CredAbility Consumer Distress Index for New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA) (DISCONTINUED)",2005-01-01,2013-01-01,Quarterly,Q,Percent,%,Not Seasonally Adjusted,NSA,2013-05-17 14:01:44-05,1,1,"Overview of the Index
The Index is a quarterly comprehensive picture of the average American household’s financial condition. Built by assessing the key elements of financial health and distress, it converts a complex set of factors into a single, easy to understand number.

Scope and History
The index measures the U.S., all 50 states and more than 70 MSAs. The national and state versions date back to 1980 and the MSA versions date back to 1990.

Public Data and Proprietary Methodology
We use more than 65 data points from government, public and private data and a proprietary methodology for compiling, combining and evaluating data. With nearly 50 years of experience and insight into helping consumers in financial distress, we know the biggest causes of distress, how people react to financial challenges and proven strategies for regaining control. (Note: Our client data is not a data source for the Index)

Measured on a 100 Point Scale
Financial distress is measured on a 100 point scale and a score under 70 indicates financial distress. The lower the score equals more distress, a weaker financial position, more urgency to act, takes longer and is harder to resolve, and increases the probability of needing a third party help to resolve.

The Index score is tied to one of 5 general rating categories, which reflect the strength and stability of the consumer’s position.
Less than 60 Emergency / Crisis
60 – 69 Distressed / Unstable
70 – 79 Weakening / At-Risk
80 – 89 Good / Stable
90 and Above Excellent / Secure

What Does the Index Measure?
We measure the 5 categories of personal finance that reflect or lead to a secure, stable financial life—Employment, Housing, Credit, Household Budget and Net Worth. All are equally important, so have given each category equal weighting.

Employment. Stable income is the foundation of any family’s finances. This category measures the impact of unemployment and underemployment on financial health.
Key Measures: Unemployment, Underemployment
Sample Data Source: Department of Labor, Bureau of Labor Statistics

Housing. Safe, affordable housing is a priority for all families. This category measures how consumers are paying their mortgage/rent and the impact of housing costs on their finances.
Key Measures: Mortgage and Rental Delinquencies, Housing as Percent of Budget
Sample Data Source: National Delinquency Survey

Credit. Responsible use of credit creates more borrowing options and lower costs. This category assesses the strength of credit scores and how well families manage their credit.
Key Measures: Credit Scores, Trade Line Utilization, Credit Delinquencies, Per Capita Bankruptcies
Sample Data Source: National Credit Bureau

Household Budget. Spending less than you make is the daily choice that leads to long-term success. This category measures families’ spending patterns and saving for emergencies.
Key Measures: Disposable Income, Savings, Consumer Confidence
Sample Data Source: Department of Commerce, Bureau of Economic Analysis

Net Worth. Strong, positive net worth creates options and independence. This category measures how well consumers are strengthening their personal balance sheets.
Key Measures: Household Net Worth, Net Worth versus Funds Required for Long-Term Needs (e.g. retirement)
Sample Data Source: Federal Reserve Flow of Funds, Survey of Consumer Finances","New York-Newark-Jersey City, NY-NJ-PA",New York,NY
DESCMSA35620,2021-12-07,2021-12-07,"Market Hotness: Demand Score in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2017-08-01,2021-11-01,Monthly,M,Score,Score,Not Seasonally Adjusted,NSA,2021-12-02 16:30:44-06,1,1,The demand score is an index representing a market's average listing views on realtor.com relative to other markets.,"New York-Newark-Jersey City, NY-NJ-PA",New York,NY
ENUC356230010,2021-12-07,2021-12-07,"Total Quarterly Wages in New York-Newark-Jersey City, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars,$,Not Seasonally Adjusted,NSA,2021-12-01 11:08:48-06,3,4,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash val","New York-Newark-Jersey City, NY-NJ-PA",New York,NY
ENUC356230010SA,2021-12-07,2021-12-07,"Total Quarterly Wages in New York-Newark-Jersey City, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars,$,Seasonally Adjusted,SA,2021-12-01 11:12:54-06,1,4,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash val

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. In some cases, the NSA data will be updated but the SA data will not be updated. The reason is usually that the data series has not accumulated enough new seasonal factors to trigger an adjustment.The NSA series can be located here (https://fred.stlouisfed.org/series/ENUC356230010) The FRED team is currently working on a new procedure to replace SA data that has not yet be updated with NSA data that has been updated.

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","New York-Newark-Jersey City, NY-NJ-PA",New York,NY
ENUC356240010,2021-12-07,2021-12-07,"Average Weekly Wages for Employees in Total Covered Establishments in New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",1990-01-01,2021-04-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2021-12-01 11:08:48-06,1,5,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).","New York-Newark-Jersey City, NY-NJ-PA",New York,NY
