,city,state,year,births_census,censuspop_census,deaths_census,domesticmig_census,estimatesbase_census,internationalmig_census,naturalinc_census,netmig_census,npopchg_census,popestimate_census,residual_census,med_zhvi,med_zori
0,Abilene,TX,2010,541.0,165252.0,410.0,123.0,165252.0,89.0,131.0,212.0,338.0,165590.0,-5.0,101849.5,
1,Abilene,TX,2011,2292.0,,1501.0,68.0,,206.0,791.0,274.0,1061.0,166651.0,-4.0,98293.5,
2,Abilene,TX,2012,2359.0,,1590.0,-456.0,,529.0,769.0,73.0,832.0,167483.0,-10.0,100745.0,
3,Abilene,TX,2013,2391.0,,1691.0,-1064.0,,373.0,700.0,-691.0,32.0,167515.0,23.0,101952.5,
4,Abilene,TX,2014,2385.0,,1597.0,-308.0,,433.0,788.0,125.0,893.0,168408.0,-20.0,108733.0,
5,Abilene,TX,2015,2415.0,,1701.0,163.0,,502.0,714.0,665.0,1362.0,169770.0,-17.0,110996.0,
6,Abilene,TX,2016,2420.0,,1725.0,-712.0,,339.0,695.0,-373.0,317.0,170087.0,-5.0,117104.5,
7,Abilene,TX,2017,2364.0,,1711.0,-593.0,,269.0,653.0,-324.0,324.0,170411.0,-5.0,121530.5,
8,Abilene,TX,2018,2344.0,,1765.0,6.0,,146.0,579.0,152.0,727.0,171138.0,-4.0,129117.5,
9,Abilene,TX,2019,2347.0,,1779.0,66.0,,177.0,568.0,243.0,811.0,171949.0,0.0,133965.0,
10,Abilene,TX,2020,2304.0,,1877.0,650.0,,150.0,427.0,800.0,1236.0,173185.0,9.0,138426.0,
11,Akron,OH,2010,1980.0,703200.0,1608.0,-728.0,703215.0,230.0,372.0,-498.0,-159.0,703056.0,-33.0,129733.5,
12,Akron,OH,2011,7567.0,,6656.0,-1863.0,,1172.0,911.0,-691.0,206.0,703262.0,-14.0,122082.0,
13,Akron,OH,2012,7497.0,,7007.0,-2737.0,,1258.0,490.0,-1479.0,-1038.0,702224.0,-49.0,117051.0,
14,Akron,OH,2013,7544.0,,6988.0,-777.0,,1862.0,556.0,1085.0,1554.0,703778.0,-87.0,120751.0,
15,Akron,OH,2014,7705.0,,6848.0,-1096.0,,1674.0,857.0,578.0,1314.0,705092.0,-121.0,122486.5,799.5
16,Akron,OH,2015,7565.0,,7465.0,-2498.0,,1961.0,100.0,-537.0,-485.0,704607.0,-48.0,125475.5,836.0
17,Akron,OH,2016,7543.0,,7297.0,-2873.0,,1828.0,246.0,-1045.0,-817.0,703790.0,-18.0,129529.0,854.0
18,Akron,OH,2017,7307.0,,7527.0,-884.0,,1479.0,-220.0,595.0,346.0,704136.0,-29.0,136658.5,870.5
19,Akron,OH,2018,7344.0,,7489.0,-1167.0,,1005.0,-145.0,-162.0,-318.0,703818.0,-11.0,144448.5,889.0
20,Akron,OH,2019,7192.0,,7380.0,-1627.0,,1220.0,-188.0,-407.0,-578.0,703240.0,17.0,152272.0,915.5
21,Akron,OH,2020,7152.0,,7869.0,-2127.0,,1034.0,-717.0,-1093.0,-1791.0,701449.0,19.0,160537.5,952.5
22,Albany,GA,2010,544.0,153857.0,409.0,-33.0,154033.0,20.0,135.0,-13.0,122.0,154155.0,0.0,88213.0,
23,Albany,GA,2011,2298.0,,1213.0,-731.0,,62.0,1085.0,-669.0,416.0,154571.0,0.0,82571.5,
