date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2016-07-01,2016,7,Atlanta,GA,272000.0,1.0065269402425404e-05,4.954029679207167e-06,27.2072754343084,5791.874,9.655509918108895e-06,4.810562349476303e-06,0.0012586968986165608,5.1,2558.0,0.00044261868962340605,50.0,8.434280626782433e-06
2016-08-01,2016,8,Atlanta,GA,269900.0,1.009151446793331e-05,4.966496735011576e-06,27.257521891985803,5791.874,9.721151981674333e-06,4.824015677191294e-06,0.0011935322666447958,5.1,2540.5,0.0003976652289585288,52.5,8.431388756051535e-06
2016-09-01,2016,9,Atlanta,GA,270168.0,1.0125989512380332e-05,4.981504544316415e-06,27.1643515312817,5791.874,9.74154033944709e-06,4.830687032183405e-06,0.0011766896238890562,5.1,2534.0,0.0003995730681379401,54.0,8.503763346715634e-06
2016-10-01,2016,10,Atlanta,GA,269900.0,1.0155881049331348e-05,4.975689344526463e-06,27.569987736275102,5791.874,9.744210696875569e-06,4.83551875312926e-06,0.0011646761990562011,5.1,2528.0,0.00038741059336919344,54.0,8.498381785457487e-06
2016-11-01,2016,11,Atlanta,GA,269900.0,1.0163767990464249e-05,4.987395457789822e-06,27.4456443853493,5791.874,9.77267696272119e-06,4.850631681462564e-06,0.0011233595568270764,5.1,2526.0,0.00032337874091020394,56.5,8.535429102305106e-06
2016-12-01,2016,12,Atlanta,GA,269000.0,1.0170030621325753e-05,4.989649859646619e-06,27.424972154088604,5791.874,9.769716068556268e-06,4.8611127773869145e-06,0.0010417100019457113,5.1,2508.0,0.00024122241624680775,66.0,8.553142388022184e-06
2017-01-01,2017,1,Atlanta,GA,269900.0,9.825244701469579e-06,4.832610799235218e-06,27.9307919255031,5876.763,9.475974507459308e-06,4.759216232615024e-06,0.0009265891199923658,5.0,2504.0,0.0003380786401997082,67.5,8.265014256230781e-06
2017-02-01,2017,2,Atlanta,GA,274750.0,9.87310844642641e-06,4.848100116873603e-06,27.5715305651732,5876.763,9.508999566143675e-06,4.760386956266706e-06,0.0009153835329970516,5.0,2512.5,0.0003907767495833558,53.5,8.29487833529444e-06
2017-03-01,2017,3,Atlanta,GA,282450.0,9.918362590660974e-06,4.867242154167561e-06,27.6336330701545,5876.763,9.524214725230015e-06,4.783596359385071e-06,0.00087701815116555,4.9,2552.5,0.0004435906789876267,45.5,8.318075782044994e-06
2017-04-01,2017,4,Atlanta,GA,297000.0,9.936133150749694e-06,4.875356259726819e-06,28.1187510459966,5876.763,9.524441991889619e-06,4.73715512259604e-06,0.0008896425334135007,4.8,2623.0,0.00043212449694591,45.0,8.374964665578642e-06
2017-05-01,2017,5,Atlanta,GA,299900.0,9.960197871589527e-06,4.898257585197541e-06,27.7837409617262,5876.763,9.51869876833176e-06,4.743622705950726e-06,0.0009421958677713691,4.7,2653.5,0.00046409082263796877,45.5,8.396768035886226e-06
2017-06-01,2017,6,Atlanta,GA,299900.0,9.989608239190903e-06,4.9231853367717485e-06,27.7849231319023,5876.763,9.561443851479158e-06,4.761008899098442e-06,0.0009762179988294933,4.6,2666.0,0.0004317770368840398,47.0,8.429085826823842e-06
2017-07-01,2017,7,Atlanta,GA,297984.0,1.00021468833759e-05,4.919347139209018e-06,28.0443506547985,5876.763,9.532778913401488e-06,4.773527746617479e-06,0.00101475711069193,4.5,2624.0,0.0004278391561828442,51.0,8.422905936806172e-06
2017-08-01,2017,8,Atlanta,GA,299900.0,1.0025565179455663e-05,4.926201097143218e-06,27.930131093143398,5876.763,9.513603719696295e-06,4.782430650584476e-06,0.0012253468631904293,4.4,2623.5,0.0004884130269688831,51.0,8.471065497219636e-06
2017-09-01,2017,9,Atlanta,GA,299900.0,1.0049458665812807e-05,4.944047516926949e-06,28.3097205097433,5876.763,9.578725029238378e-06,4.783078346124997e-06,0.0011933805374983706,4.4,2610.0,0.00043814713801832686,57.0,8.451642875886383e-06
2017-10-01,2017,10,Atlanta,GA,299900.0,1.0053038591244541e-05,4.95775494925606e-06,28.3985121860685,5876.763,9.574275739357268e-06,4.795920000325545e-06,0.0011573894660896486,4.3,2600.0,0.0004242487355435188,58.0,8.567718410639566e-06
2017-11-01,2017,11,Atlanta,GA,299950.0,1.0082125418747151e-05,4.95956834646498e-06,28.108368752039198,5876.763,9.571584539586086e-06,4.811074817403601e-06,0.0010976842454582852,4.3,2596.5,0.0003820902480366007,58.0,8.549358825997116e-06
2017-12-01,2017,12,Atlanta,GA,300000.0,1.0097792727380914e-05,4.96432432842067e-06,28.432346659724196,5876.763,9.57697755103873e-06,4.819440521907367e-06,0.0010117747451608775,4.2,2582.0,0.0002923297320534647,65.0,8.520199639002822e-06
2018-01-01,2018,1,Atlanta,GA,306950.0,9.87634567577991e-06,4.814929205956847e-06,28.5344639142619,5951.394,9.384373291202813e-06,4.712504842746205e-06,0.0008920613012756732,4.2,2587.0,0.00035099715462271077,68.0,8.330173187232704e-06
