date,year,month,city,state,housing_median_listing_price,education,financial,hourly_earnings,resident_population,government,manufacturing,housing_active_listing_count,unemployment_rate,housing_median_home_size_in_square_feet,housing_new_listing_count,housing_median_days_on_market,leisure
2016-07-01,2016,7,Atlanta,GA,272000.0,1.7378260304739717e-09,8.553414109504397e-10,27.2072754343084,5791.874,1.6670787241070672e-09,8.305709601894488e-10,2.1732118112661998e-07,5.1,2558.0,7.642063512144878e-08,50.0,1.456226538557716e-09
2016-08-01,2016,8,Atlanta,GA,269900.0,1.7423573903598924e-09,8.574939190686082e-10,27.257521891985803,5791.874,1.6784121998638668e-09,8.328937537645491e-10,2.060701366509002e-07,5.1,2540.5,6.865916436692663e-08,52.5,1.4557272406222123e-09
2016-09-01,2016,9,Atlanta,GA,270168.0,1.748309702935584e-09,8.600851027346961e-10,27.1643515312817,5791.874,1.6819323658365307e-09,8.340456011618011e-10,2.031621585499022e-07,5.1,2534.0,6.898856365624322e-08,54.0,1.4682231254885094e-09
2016-10-01,2016,10,Atlanta,GA,269900.0,1.753470646863407e-09,8.590810754043446e-10,27.569987736275102,5791.874,1.6823934182400324e-09,8.348798252740409e-10,2.010879723999868e-07,5.1,2528.0,6.688864318684996e-08,54.0,1.4672939683179376e-09
2016-11-01,2016,11,Atlanta,GA,269900.0,1.7548323721241604e-09,8.611022024632825e-10,27.4456443853493,5791.874,1.6873082810021748e-09,8.374891583384866e-10,1.9395441904072437e-07,5.1,2526.0,5.583317953916193e-08,56.5,1.473690398358995e-09
2016-12-01,2016,12,Atlanta,GA,269000.0,1.755913650974754e-09,8.6149143777068e-10,27.424972154088604,5791.874,1.6867970657780656e-09,8.392987791838902e-10,1.7985715883075346e-07,5.1,2508.0,4.164842264296629e-08,66.0,1.4767486979209466e-09
2017-01-01,2017,1,Atlanta,GA,269900.0,1.6718803704470605e-09,8.223252833635145e-10,27.9307919255031,5876.763,1.6124479594394581e-09,8.098363389190656e-10,1.5766998260647328e-07,5.0,2504.0,5.7528037152375926e-08,67.5,1.4063889008678386e-09
2017-02-01,2017,2,Atlanta,GA,274750.0,1.6800249467991836e-09,8.249609720306234e-10,27.5715305651732,5876.763,1.6180675596656994e-09,8.100355512493367e-10,1.557632208406314e-07,5.0,2512.5,6.649523718811798e-08,53.5,1.4114706234187835e-09
2017-03-01,2017,3,Atlanta,GA,282450.0,1.6877254690483475e-09,8.282182136947774e-10,27.6336330701545,5876.763,1.6206565970467103e-09,8.139849028087522e-10,1.4923490213329177e-07,4.9,2552.5,7.548214535580671e-08,45.5,1.415417940462291e-09
2017-04-01,2017,4,Atlanta,GA,297000.0,1.6907493378156808e-09,8.295989237147762e-10,28.1187510459966,5876.763,1.6206952691285353e-09,8.060823828689433e-10,1.513830885154805e-07,4.8,2623.0,7.353104029308482e-08,45.0,1.4250982497641375e-09
2017-05-01,2017,5,Atlanta,GA,299900.0,1.694844231695157e-09,8.334958522570233e-10,27.7837409617262,5876.763,1.6197179924274231e-09,8.07182917866643e-10,1.603256533862892e-07,4.7,2653.5,7.89704847103701e-08,45.5,1.4288083483860462e-09
2017-06-01,2017,6,Atlanta,GA,299900.0,1.6998487499310256e-09,8.377376009159717e-10,27.7849231319023,5876.763,1.6269915685691524e-09,8.101413821007317e-10,1.661149171456282e-07,4.6,2666.0,7.347191589724476e-08,47.0,1.4343075987280483e-09
2017-07-01,2017,7,Atlanta,GA,297984.0,1.7019823469784131e-09,8.370844866823825e-10,28.0443506547985,5876.763,1.6221138938904782e-09,8.122716105137266e-10,1.726727980508879e-07,4.5,2624.0,7.280183941105746e-08,51.0,1.433256018118507e-09
2017-08-01,2017,8,Atlanta,GA,299900.0,1.7059672441198774e-09,8.382507678365144e-10,27.930131093143398,5876.763,1.6188510102749244e-09,8.13786543814082e-10,2.0850710896294938e-07,4.4,2623.5,8.310919241917415e-08,51.0,1.441450930932494e-09
2017-09-01,2017,9,Atlanta,GA,299900.0,1.7100330004481731e-09,8.412875450187372e-10,28.3097205097433,5876.763,1.6299321632058974e-09,8.138967567902596e-10,2.030676645456641e-07,4.4,2610.0,7.455586315431248e-08,57.0,1.438145944610389e-09
2017-10-01,2017,10,Atlanta,GA,299900.0,1.7106421666561236e-09,8.436200250471323e-10,28.3985121860685,5876.763,1.629175064462744e-09,8.160819145379089e-10,1.9694336254323149e-07,4.3,2600.0,7.21908873207102e-08,58.0,1.4578975552765299e-09
2017-11-01,2017,11,Atlanta,GA,299950.0,1.7155916307578086e-09,8.439285958043535e-10,28.108368752039198,5876.763,1.6287171253266613e-09,8.186606840200296e-10,1.8678382052471494e-07,4.3,2596.5,6.501712729211655e-08,58.0,1.454773457088046e-09
2017-12-01,2017,12,Atlanta,GA,300000.0,1.7182576066758034e-09,8.447378817932032e-10,28.432346659724196,5876.763,1.6296348093395513e-09,8.200842065448899e-10,1.7216531365326072e-07,4.2,2582.0,4.974332503343502e-08,65.0,1.4498116801720304e-09
2018-01-01,2018,1,Atlanta,GA,306950.0,1.6595012321113186e-09,8.090422522785161e-10,28.5344639142619,5951.394,1.5768361649729143e-09,7.918321056791409e-10,1.4989115176640517e-07,4.2,2587.0,5.8977300884920535e-08,68.0,1.3997011771078682e-09
2018-02-01,2018,2,Atlanta,GA,312450.0,1.6659508500153763e-09,8.153690258488431e-10,28.784818274929698,5951.394,1.5782538052928318e-09,7.946313583143272e-10,1.464090620906063e-07,4.2,2608.5,7.527765528007715e-08,54.0,1.4001184566876385e-09
2018-03-01,2018,3,Atlanta,GA,324900.0,1.6714106009845735e-09,8.158972479180558e-10,28.793932224573602,5951.394,1.5801758898577453e-09,7.970892108965241e-10,1.507925101293504e-07,4.1,2650.0,8.489846980667132e-08,43.0,1.4079652894291411e-09
2018-04-01,2018,4,Atlanta,GA,337000.0,1.676552017500164e-09,8.17972753578438e-10,29.3477901683319,5951.394,1.5800506056712236e-09,7.92264912076625e-10,1.571826665234936e-07,4.0,2710.0,8.852287922398787e-08,44.0,1.4045866584403274e-09
2018-05-01,2018,5,Atlanta,GA,341200.0,1.6813301415196948e-09,8.184312990244949e-10,28.996202862242697,5951.394,1.5935532818695596e-09,7.956522742119259e-10,1.65081412177724e-07,3.9,2701.5,8.996505260470021e-08,43.5,1.410084467866804e-09
2018-06-01,2018,6,Atlanta,GA,339900.0,1.6865444939383308e-09,8.216088328938652e-10,29.0520820057836,5951.394,1.5855156991716146e-09,7.991868540973764e-10,1.7413769172963144e-07,3.8,2678.0,9.157800967523376e-08,45.0,1.4170159188103105e-09
2018-07-01,2018,7,Atlanta,GA,330772.0,1.6999670082267243e-09,8.224494290080993e-10,29.1839369368153,5951.394,1.5862753421367936e-09,8.001148102485481e-10,1.8807553841559477e-07,3.7,2635.0,8.52590131518494e-08,45.5,1.4233286496310757e-09
2018-08-01,2018,8,Atlanta,GA,325000.0,1.7096725515277835e-09,8.22860779963002e-10,28.9274780065491,5951.394,1.5843164408600714e-09,8.023404867833408e-10,1.9144377229817955e-07,3.7,2604.0,8.495539770327839e-08,48.5,1.4195367282959099e-09
2018-09-01,2018,9,Atlanta,GA,324900.0,1.7071891844431953e-09,8.246552179549033e-10,29.6917525201083,5951.394,1.5818637036472677e-09,8.041649169221511e-10,1.9406245554210457e-07,3.6,2580.0,7.903489645614351e-08,51.0,1.417095455304949e-09
2018-10-01,2018,10,Atlanta,GA,319450.0,1.7089598417001616e-09,8.238362340198728e-10,29.1232928065316,5951.394,1.5837607548196706e-09,8.070722831869179e-10,2.0594615395882966e-07,3.7,2550.0,8.161562776899718e-08,54.0,1.4141476960809905e-09
2018-11-01,2018,11,Atlanta,GA,319116.0,1.7151916405134697e-09,8.351922594284467e-10,28.835246568238897,5951.394,1.5853535380526782e-09,8.078586707549112e-10,2.0303808724048538e-07,3.7,2545.0,7.01541445854412e-08,54.5,1.4133246096650143e-09
2018-12-01,2018,12,Atlanta,GA,315000.0,1.7153407426134112e-09,8.262158652814874e-10,29.076148406364798,5951.394,1.5891242233753446e-09,8.0898795052655e-10,1.9563746068156675e-07,3.7,2529.0,5.66812090551022e-08,64.0,1.4150558887913396e-09
2019-01-01,2019,1,Atlanta,GA,313950.0,1.670038150883688e-09,7.977889021432255e-10,29.182690434484602,6027.231,1.520451637653625e-09,7.771540619982461e-10,1.7698212469008438e-07,3.7,2493.5,7.307460439837295e-08,67.0,1.3883816088820245e-09
2019-02-01,2019,2,Atlanta,GA,317446.0,1.6790772722924893e-09,8.010911113613538e-10,28.988200054439897,6027.231,1.5255564521378799e-09,7.784205221323176e-10,1.7541558785829427e-07,3.7,2483.0,8.166087041518179e-08,56.0,1.3899273938494094e-09
2019-03-01,2019,3,Atlanta,GA,324237.1429,1.6798009000439372e-09,8.031944671903957e-10,29.2328037914222,6027.231,1.5283089984782176e-09,7.808237241591137e-10,1.8252666029881095e-07,3.6,2531.0,8.421848156912483e-08,49.0,1.3868051657841339e-09
2019-04-01,2019,4,Atlanta,GA,329950.0,1.6776479335268117e-09,8.044331311273519e-10,29.1449871917506,6027.231,1.5282726413373861e-09,7.833683952339762e-10,1.93976537375481e-07,3.6,2571.5,9.516140357778118e-08,46.0,1.389095599703269e-09
2019-05-01,2019,5,Atlanta,GA,337510.0,1.6795811322504805e-09,8.075078238760414e-10,29.113419668315302,6027.231,1.5374922003831868e-09,7.854066442290677e-10,2.0147581865186403e-07,3.5,2599.5,9.72622984542344e-08,46.5,1.3933678147304332e-09
2019-06-01,2019,6,Atlanta,GA,334900.0,1.6816227748410606e-09,8.08205109824082e-10,29.4523960118801,6027.231,1.5259078149801483e-09,7.853016202000731e-10,2.0761865258410228e-07,3.4,2588.0,9.0228867780891e-08,49.0,1.3907303876727825e-09
2019-07-01,2019,7,Atlanta,GA,329450.0,1.6788113429948325e-09,8.095223380003873e-10,28.8476031887562,6027.231,1.5236425089094492e-09,7.881756636067957e-10,2.1326366577387654e-07,3.3,2559.0,8.739722686045405e-08,51.5,1.393841471112745e-09
2019-08-01,2019,8,Atlanta,GA,323803.4286,1.6847753604283574e-09,8.136091405351873e-10,28.8887950031102,6027.231,1.534351790127551e-09,7.878324293530524e-10,2.1193462140638118e-07,3.2,2525.142857,8.443770538231995e-08,52.0,1.391934655077438e-09
2019-09-01,2019,9,Atlanta,GA,320000.0,1.6887631429431266e-09,8.149857629117276e-10,29.150687817014298,6027.231,1.5378128896087193e-09,7.875277162221271e-10,2.0890659248662356e-07,3.2,2497.5,8.008976642061676e-08,55.5,1.3903023085092652e-09
2019-10-01,2019,10,Atlanta,GA,322450.0,1.695294904076377e-09,8.188690756138947e-10,29.0735404186898,6027.231,1.5373139407513686e-09,7.83655664883438e-10,2.0756384663080348e-07,3.1,2498.0,7.886576679694401e-08,53.0,1.3920844554988835e-09
2019-11-01,2019,11,Atlanta,GA,325000.0,1.7016216137287175e-09,8.217303007150349e-10,29.054482668884802,6027.231,1.5402261952551177e-09,7.84386622648889e-10,1.9441041783909636e-07,3.1,2489.0,6.594983046953159e-08,56.0,1.392876677797797e-09
2019-12-01,2019,12,Atlanta,GA,319950.0,1.7048136968879389e-09,8.227286838495033e-10,29.3956052502693,6027.231,1.5404802140315188e-09,7.848011115812313e-10,1.8090531751372207e-07,3.1,2456.5,5.157240205415171e-08,63.5,1.398596874182634e-09
2020-01-01,2020,1,Atlanta,GA,319450.0,1.6591011022944728e-09,8.023926828544238e-10,29.291297228165803,6087.762,1.4976522914808077e-09,7.614872792924457e-10,1.5969054827491854e-07,3.2,2445.0,6.747700205216243e-08,66.5,1.371329585192183e-09
2020-02-01,2020,2,Atlanta,GA,324816.0,1.6634626421355545e-09,8.038367241588399e-10,29.409923081090604,6087.762,1.501324147774236e-09,7.605576867706936e-10,1.5228421154152628e-07,3.4,2459.0,6.87357690373709e-08,57.0,1.3653064553137212e-09
