msa,city,state,date,year,month,Housing Inventory: Median Listing Price,Housing Inventory: New Listing Count,Per Capita Personal Income,Resident Population
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2016-07-01,2016,7,428000.0,19448.0,68000.0,19336.456
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2016-08-01,2016,8,424950.0,16680.0,68000.0,19336.456
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2016-09-01,2016,9,427000.0,20160.0,68000.0,19336.456
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2016-10-01,2016,10,434900.0,17604.0,68000.0,19336.456
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2016-11-01,2016,11,439450.0,16944.0,68000.0,19336.456
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2016-12-01,2016,12,435000.0,10660.0,68000.0,19336.456
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-01-01,2017,1,429000.0,16364.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-02-01,2017,2,447000.0,19740.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-03-01,2017,3,459000.0,23932.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-04-01,2017,4,475136.0,25420.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-05-01,2017,5,494000.0,27832.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-06-01,2017,6,495260.0,24496.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-07-01,2017,7,489000.0,21952.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-08-01,2017,8,479500.0,20880.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-09-01,2017,9,485000.0,20340.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-10-01,2017,10,488528.5,20660.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-11-01,2017,11,485000.0,16768.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-12-01,2017,12,479900.0,11540.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-01-01,2018,1,479990.0,17108.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-02-01,2018,2,499950.0,20920.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-03-01,2018,3,520000.0,22904.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-04-01,2018,4,534450.0,28476.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-05-01,2018,5,549000.0,29160.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-06-01,2018,6,549000.0,25740.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-07-01,2018,7,549000.0,23332.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-08-01,2018,8,532450.0,21536.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-09-01,2018,9,535000.0,24296.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-10-01,2018,10,538312.0,21904.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-11-01,2018,11,535000.0,18120.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-12-01,2018,12,525000.0,12736.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-01-01,2019,1,520000.0,19864.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-02-01,2019,2,528500.0,20016.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-03-01,2019,3,540714.2857,24472.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-04-01,2019,4,556500.0,28940.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-05-01,2019,5,569500.0,31008.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-06-01,2019,6,569000.0,26904.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-07-01,2019,7,559500.0,22324.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-08-01,2019,8,553989.1429,24556.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-09-01,2019,9,550461.1429,25752.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-10-01,2019,10,558028.0,20528.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-11-01,2019,11,550000.0,17748.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2019-12-01,2019,12,553527.5,10276.0,77911.0,19232.494
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-01-01,2020,1,549000.0,19068.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-02-01,2020,2,559900.0,21800.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-03-01,2020,3,569450.0,20372.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-04-01,2020,4,580000.0,8396.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-05-01,2020,5,579000.0,18320.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-06-01,2020,6,589500.0,26540.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-07-01,2020,7,599499.5,27708.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-08-01,2020,8,635000.0,26828.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-09-01,2020,9,644450.0,27224.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-10-01,2020,10,655360.0,26288.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-11-01,2020,11,649000.0,18368.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2020-12-01,2020,12,649450.0,12492.0,82322.0,19124.359
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-01-01,2021,1,649000.0,17232.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-02-01,2021,2,649108.0,15940.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-03-01,2021,3,648500.0,22228.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-04-01,2021,4,649694.0,25460.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-05-01,2021,5,649000.0,26800.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-06-01,2021,6,640060.0,26256.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-07-01,2021,7,622500.0,23384.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-08-01,2021,8,627000.0,24204.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-09-01,2021,9,631868.0,23792.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-10-01,2021,10,639000.0,21444.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2021-11-01,2021,11,655000.0,17124.0,,
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-07-01,2017,7,-1.26,21952.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-08-01,2017,8,-1.94,20880.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-09-01,2017,9,1.15,20340.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-10-01,2017,10,0.73,20660.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-11-01,2017,11,-0.72,16768.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2017-12-01,2017,12,-1.05,11540.0,72163.0,19325.115
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-01-01,2018,1,0.02,17108.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-02-01,2018,2,4.16,20920.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-03-01,2018,3,4.01,22904.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-04-01,2018,4,2.78,28476.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-05-01,2018,5,2.72,29160.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-06-01,2018,6,0.0,25740.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-07-01,2018,7,0.0,23332.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-08-01,2018,8,-3.01,21536.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-09-01,2018,9,0.48,24296.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-10-01,2018,10,0.62,21904.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-11-01,2018,11,-0.62,18120.0,75166.0,19289.42
"New York-Newark-Jersey City, NY-NJ-PA",New York,NY,2018-12-01,2018,12,-1.87,12736.0,75166.0,19289.42
