date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,272000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-08-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-09-01,270168.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-10-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-11-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2016-12-01,269000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-01-01,269900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-02-01,274750.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-03-01,282450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-04-01,297000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-05-01,299900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-06-01,299900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-07-01,297984.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-08-01,299900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-09-01,299900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-10-01,299900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-11-01,299950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2017-12-01,300000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-01-01,306950.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-02-01,312450.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-03-01,324900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-04-01,337000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-05-01,341200.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-06-01,339900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-07-01,330772.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-08-01,325000.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
2018-09-01,324900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRI12060,Monthly,Not Seasonally Adjusted
