id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,msa,city,state
ACTLISCOU12060,2021-12-11,2021-12-11,"Housing Inventory: Active Listing Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",2016-07-01,2021-11-01,Monthly,M,Level,Level,Not Seasonally Adjusted,NSA,2021-12-06 16:47:04-06,23,23,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ACTLISCOUMM12060,2021-12-11,2021-12-11,"Housing Inventory: Active Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-06 18:46:14-06,1,1,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ACTLISCOUYY12060,2021-12-11,2021-12-11,"Housing Inventory: Active Listing Count Year-Over-Year in Atlanta-Sandy Springs-Roswell, GA (CBSA)",2017-07-01,2021-11-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-12-07 17:21:50-06,1,1,The count of active single-family and condo/townhome listings for a given market during the specified month (excludes pending listings).,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013BP1FH,2021-12-11,2021-12-11,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Atlanta-Sandy Springs-Alpharetta, GA (MSA)",1988-01-01,2021-10-01,Monthly,M,Units,Units,Not Seasonally Adjusted,NSA,2021-11-24 07:58:02-06,13,15,"This series represents the total number of building permits for 1-unit structure types. The 1-unit structure type is a single-family home or house. A single-family home or house types include fully detached, semidetached (semidetached, side-by-side), row houses, and townhouses. For attached units, each must be separated from the adjacent unit by a ground-to-roof wall in order to be classified as a single-family structure. These units also must not share heating/air-conditioning systems or utilities. Units built on top of one another and those built side-by-side that do not have a ground-to-roof wall and/or have common facilities (i.e., attic, basement, heating plant, plumbing, etc.) are not included under single-family structures.

The Saint Louis Federal Reserve Bank uses the most recent Metropolitan Statistical Area definitions released by the Office of Management and Budget. For more information on specific definitions visit here (https://census.gov/programs-surveys/metro-micro.html).","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013BP1FHSA,2021-12-11,2021-12-11,"New Private Housing Units Authorized by Building Permits: 1-Unit Structures for Atlanta-Sandy Springs-Alpharetta, GA (MSA)",1988-01-01,2021-10-01,Monthly,M,Units,Units,Seasonally Adjusted,SA,2021-11-24 07:59:20-06,5,15,"This series represents the total number of building permits for 1-unit structure types. The 1-unit structure type is a single-family home or house. A single-family home or house types include fully detached, semidetached (semidetached, side-by-side), row houses, and townhouses. For attached units, each must be separated from the adjacent unit by a ground-to-roof wall in order to be classified as a single-family structure. These units also must not share heating/air-conditioning systems or utilities. Units built on top of one another and those built side-by-side that do not have a ground-to-roof wall and/or have common facilities (i.e., attic, basement, heating plant, plumbing, etc.) are not included under single-family structures.

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013BP1FH).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013BPPRIV,2021-12-11,2021-12-11,"New Private Housing Structures Authorized by Building Permits for Atlanta-Sandy Springs-Alpharetta, GA (MSA)",1988-01-01,2021-10-01,Monthly,M,Units,Units,Not Seasonally Adjusted,NSA,2021-11-24 07:58:06-06,7,25,"This series represents the total number of building permits for all structure types. Structure types include 1-unit, 2-unit, 3-unit, 4-unit, and 5-unit or more.

The Saint Louis Federal Reserve Bank uses the most recent Metropolitan Statistical Area definitions released by the Office of Management and Budget. For more information on specific definitions visit here (https://census.gov/programs-surveys/metro-micro.html).","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013BPPRIVSA,2021-12-11,2021-12-11,"New Private Housing Structures Authorized by Building Permits for Atlanta-Sandy Springs-Alpharetta, GA (MSA)",1988-01-01,2021-10-01,Monthly,M,Units,Units,Seasonally Adjusted,SA,2021-11-24 07:59:04-06,23,25,"This series represents the total number of building permits for all structure types. Structure types include 1-unit, 2-unit, 3-unit, 4-unit, and 5-unit or more.

The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013BPPRIV).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013EDUH,2021-12-11,2021-12-11,"All Employees: Education and Health Services in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:39:35-06,1,1,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013EDUHN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013EDUHN,2021-12-11,2021-12-11,"All Employees: Education and Health Services in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:30:26-06,1,1,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013FIRE,2021-12-11,2021-12-11,"All Employees: Financial Activities in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 15:10:05-06,1,1,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013FIREN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013FIREN,2021-12-11,2021-12-11,"All Employees: Financial Activities in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:30:26-06,1,1,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013GOVT,2021-12-11,2021-12-11,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:39:35-06,1,3,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013GOVTN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013GOVTN,2021-12-11,2021-12-11,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:30:25-06,2,3,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013INFO,2021-12-11,2021-12-11,"All Employees: Information in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 15:10:05-06,1,2,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013INFON).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013INFON,2021-12-11,2021-12-11,"All Employees: Information in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:30:25-06,1,2,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013LEIH,2021-12-11,2021-12-11,"All Employees: Leisure and Hospitality in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2021-11-19 16:39:35-06,2,4,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodel' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodel' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/srd/www/x13as/).

Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/ATLA013LEIHN).

Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator.","Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013LEIHN,2021-12-11,2021-12-11,"All Employees: Leisure and Hospitality in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2021-11-19 15:30:25-06,3,4,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013LF,2021-12-11,2021-12-11,"Civilian Labor Force in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Persons,Persons,Smoothed Seasonally Adjusted,SSA,2021-12-02 13:12:16-06,1,3,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
ATLA013LFN,2021-12-11,2021-12-11,"Civilian Labor Force in Atlanta-Sandy Springs-Roswell, GA (MSA)",1990-01-01,2021-10-01,Monthly,M,Persons,Persons,Not Seasonally Adjusted,NSA,2021-12-02 10:20:23-06,3,3,,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,GA
