date,All Employees: Financial Activities,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,16.8714389316778,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-02-01,16.6686578084823,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-03-01,16.637507185271403,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-04-01,16.7232657770538,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-05-01,16.757171955576002,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-06-01,16.8781802060493,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-07-01,16.8280982344071,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-08-01,16.6186809733218,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-09-01,16.8182186497963,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-10-01,16.9196787784771,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-11-01,16.9738423127957,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1990-12-01,16.8029660360746,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-01-01,16.7778288772067,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-02-01,16.7694809486943,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-03-01,16.844499505845,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-04-01,16.7104855360909,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-05-01,16.647224723774098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-06-01,16.677109158522597,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-07-01,16.724864573614,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-08-01,16.831926889356,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-09-01,16.923849275236098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-10-01,16.7217014051275,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-11-01,16.5789658818734,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1991-12-01,16.7943244161183,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-01-01,16.885212203887,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-02-01,16.9753078245724,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-03-01,16.9485939142501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-04-01,16.8810759363592,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-05-01,17.033000002841497,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-06-01,16.9766241298253,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-07-01,17.024562654384102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-08-01,17.1499865945173,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-09-01,17.1352502995987,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-10-01,17.0362416115294,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-11-01,16.9820739817435,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1992-12-01,17.076817060627302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-01-01,17.094205096659,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-02-01,17.0723874215487,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-03-01,17.1575552196175,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-04-01,17.2507902459622,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-05-01,17.2173816517151,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-06-01,17.2807288559697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-07-01,17.3204516196449,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-08-01,17.2673651374008,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
1993-09-01,17.3411275642927,NM,"Albuquerque, NM",Albuquerque,"All Employees: Financial Activities in Albuquerque, NM (MSA)",ALBU735FIRE,Monthly,Seasonally Adjusted
