date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,25.3295341343466,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-02-01,25.3128848560852,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-03-01,25.367819564062902,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-04-01,25.3360248718803,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-05-01,25.47839284581,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-06-01,25.4711650404041,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-07-01,25.521181750042402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-08-01,25.6309561623991,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-09-01,25.5491401373973,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-10-01,25.4720143113959,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-11-01,25.5228110101854,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
1990-12-01,25.5080621970607,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001SA,Monthly,Seasonally Adjusted
