date,All Employees: Government: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,14.6890421778612,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-02-01,14.950893240973699,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-03-01,15.0288779813444,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-04-01,15.205469785841501,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-05-01,14.8218625124729,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-06-01,15.1194252983232,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-07-01,15.087412797111499,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-08-01,15.121652988438498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-09-01,15.234023262971,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-10-01,15.3197468461952,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-11-01,15.371874728882402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1990-12-01,15.3759315516035,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-01-01,15.6585618497463,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-02-01,15.341294126328402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-03-01,15.4429898533692,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-04-01,15.4179386159987,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-05-01,15.6106276561717,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-06-01,15.7117958040409,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-07-01,15.877615269247801,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-08-01,15.905250841058098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-09-01,16.050404579950303,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-10-01,16.0384171075977,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-11-01,16.0803659218004,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1991-12-01,16.2026555141262,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-01-01,16.3397688253221,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-02-01,16.5372072123861,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-03-01,16.3541911991592,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-04-01,16.3061833915707,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-05-01,16.2828755417811,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-06-01,16.3944502240824,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-07-01,16.3724482531556,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-08-01,16.4861956825971,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-09-01,16.381023213325697,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-10-01,16.8635188445558,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-11-01,16.5749533687507,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1992-12-01,16.425854587768,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-01-01,16.8567020892928,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-02-01,16.8581113479766,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-03-01,16.766405971608,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-04-01,16.8756006309905,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
1993-05-01,16.9229305426908,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: State Government in Albuquerque, NM (MSA)",SMU35107409092000001SA,Monthly,Seasonally Adjusted
