date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,54.3089159506423,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-02-01,54.751361869456,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-03-01,54.9286605926974,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-04-01,55.4691735660564,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-05-01,55.847322508663595,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-06-01,55.4618156207942,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-07-01,55.33052783215901,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-08-01,55.1850188434805,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-09-01,55.2695418307645,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-10-01,55.2922144940691,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-11-01,55.2254011889159,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1990-12-01,55.1431328965616,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1991-01-01,55.616491502719896,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1991-02-01,55.222328628156795,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1991-03-01,55.423878084330205,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1991-04-01,55.2039399306855,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1991-05-01,55.4435762528883,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
1991-06-01,55.635385757881096,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government in Albuquerque, NM (MSA)",ALBU735GOVT,Monthly,Seasonally Adjusted
