date,All Employees: Other Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,8.883021349691841,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-02-01,8.898084775474661,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-03-01,8.92406876609274,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-04-01,8.877912793473461,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-05-01,8.968235324738599,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-06-01,8.98531853825093,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-07-01,8.83309954525034,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-08-01,9.077446551648562,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-09-01,8.92529881672794,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-10-01,8.92471146083451,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-11-01,8.91213353387541,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1990-12-01,8.79341967459568,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-01-01,8.87595850550129,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-02-01,8.894855324135118,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-03-01,9.0287900884719,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-04-01,8.97595029776098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-05-01,8.974161366478679,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-06-01,8.995923475688231,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-07-01,8.926477952130439,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-08-01,8.97547760203102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-09-01,9.028349496380882,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-10-01,8.92268989299658,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-11-01,8.909599008910108,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1991-12-01,8.9917322291928,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-01-01,8.96406330538845,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-02-01,8.992489459273289,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-03-01,9.03226409157595,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-04-01,9.07471968802314,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-05-01,9.08582062063124,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-06-01,9.119375681124449,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-07-01,9.11554569991307,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-08-01,9.07128738923191,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
1992-09-01,9.12945385143916,NM,"Albuquerque, NM",Albuquerque,"All Employees: Other Services in Albuquerque, NM (MSA)",ALBU735SRVO,Monthly,Seasonally Adjusted
