date,All Employees: Retail Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,32.6674640874278,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-02-01,32.7141612368004,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-03-01,32.897278749415804,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-04-01,32.8018620232355,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-05-01,32.924586412754,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-06-01,32.89348681328,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-07-01,32.5389462337359,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-08-01,32.510227696510604,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-09-01,32.595438451975305,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-10-01,32.3123051802616,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-11-01,32.6732114437244,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1990-12-01,32.1058933146466,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1991-01-01,31.8305572399019,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
1991-02-01,31.785356867203003,NM,"Albuquerque, NM",Albuquerque,"All Employees: Retail Trade in Albuquerque, NM (MSA)",SMU35107404200000001SA,Monthly,Seasonally Adjusted
