date,Housing Inventory: Active Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-10.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,-10.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,-10.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,-9.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,-8.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,-7.49,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,-7.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,-8.88,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,-11.43,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,-10.08,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",ACTLISCOUYY10740,Monthly,Not Seasonally Adjusted
