date,Housing Inventory: Average Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,5.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,5.39,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,5.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,3.86,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,1.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,2.37,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,3.95,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,5.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,6.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,5.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-05-01,4.87,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-06-01,3.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
2018-07-01,0.68,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Year-Over-Year in Albuquerque, NM (CBSA)",AVELISPRIYY10740,Monthly,Not Seasonally Adjusted
