date,Housing Inventory: Median Listing Price Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-0.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,-1.78,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-0.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-2.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-0.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,-0.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,0.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,2.13,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,1.59,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,1.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,3.34,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,0.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,-2.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,-1.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-0.4,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,0.28,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,0.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,-0.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,-0.08,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-02-01,2.08,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-03-01,4.3,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-04-01,3.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-05-01,1.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-06-01,0.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-07-01,-1.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-08-01,-1.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-09-01,-0.97,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-10-01,2.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-11-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-12-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-01-01,2.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-02-01,4.66,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-03-01,1.7,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-04-01,0.15,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-05-01,5.69,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-06-01,8.47,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-07-01,0.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-08-01,0.93,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-09-01,-0.21,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-10-01,-3.81,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-11-01,-2.98,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2020-12-01,-1.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-01-01,-0.62,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-02-01,1.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-03-01,0.76,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-04-01,0.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-05-01,2.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-06-01,4.18,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-07-01,-1.88,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-08-01,0.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-09-01,1.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-10-01,4.74,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2021-11-01,0.53,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-07-01,-0.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-08-01,0.64,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-09-01,0.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-10-01,0.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-11-01,0.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2017-12-01,0.02,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-01-01,2.32,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-02-01,1.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-03-01,3.98,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-04-01,3.72,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-05-01,1.25,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-06-01,-0.38,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-07-01,-2.69,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-08-01,-1.75,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-09-01,-0.03,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-10-01,-1.68,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-11-01,-0.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2018-12-01,-1.29,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-01-01,-0.33,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-02-01,1.11,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-03-01,2.14,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-04-01,1.76,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-05-01,2.29,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-06-01,-0.77,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-07-01,-1.63,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-08-01,-1.71,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-09-01,-1.17,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-10-01,0.77,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-11-01,0.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2019-12-01,-1.55,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-01-01,-0.16,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-02-01,1.68,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
2020-03-01,1.58,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Listing Price Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDLISPRIMM12060,Monthly,Not Seasonally Adjusted
