date,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-0.21,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,-0.04,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-0.35,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-0.78,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-0.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,0.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,0.37,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,0.19,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,1.25,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,1.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,1.49,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,0.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,-0.52,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,-0.25,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-1.06,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,0.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,-0.01,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,0.01,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,0.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2019-02-01,1.85,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2019-03-01,2.2,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2019-04-01,1.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEMM10740,Monthly,Not Seasonally Adjusted
