date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,3.63,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,4.62,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,4.02,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,2.39,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,1.79,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,2.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,3.89,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,3.62,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,3.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,3.17,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-05-01,3.36,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-06-01,2.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-07-01,2.63,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-08-01,2.42,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-09-01,1.68,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-10-01,3.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-11-01,3.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-12-01,3.43,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-01-01,3.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-02-01,5.35,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEEYY10740,Monthly,Not Seasonally Adjusted
