date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,235900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2016-08-01,235000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2016-09-01,234950.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2016-10-01,234900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2016-11-01,234950.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2016-12-01,235000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-01-01,230000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-02-01,236700.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-03-01,239900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-04-01,244845.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-05-01,249825.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-06-01,250000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-07-01,249900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-08-01,245450.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-09-01,244900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-10-01,240000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-11-01,239900.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
2017-12-01,239000.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price in Albuquerque, NM (CBSA)",MEDLISPRI10740,Monthly,Not Seasonally Adjusted
