date,Housing Inventory: New Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-1.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,11.28,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,-6.39,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,6.34,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,5.49,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,-2.08,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,-8.79,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,-3.87,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,-9.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,1.7,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",NEWLISCOUYY10740,Monthly,Not Seasonally Adjusted
