date,Housing Inventory: New Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,1440.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2016-08-01,1348.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2016-09-01,1252.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2016-10-01,1136.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2016-11-01,1020.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2016-12-01,768.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-01-01,1092.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-02-01,1240.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-03-01,1364.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-04-01,1412.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-05-01,1612.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-06-01,1552.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-07-01,1424.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-08-01,1500.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-09-01,1172.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
2017-10-01,1208.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: New Listing Count in Albuquerque, NM (CBSA)",NEWLISCOU10740,Monthly,Not Seasonally Adjusted
