date,Housing Inventory: Pending Listing Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,14.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,38.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,83.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,5.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,-44.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,-41.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,12569.23,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,483.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,392.86,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
2018-05-01,18345.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Year-Over-Year in Albuquerque, NM (CBSA)",PENLISCOUYY10740,Monthly,Not Seasonally Adjusted
