date,Housing Inventory: Price Increased Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-29.41,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,75.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-28.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-20.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,-25.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,188.89,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,26.92,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,-48.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,105.88,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,20.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,11.9,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,40.43,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-31.82,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,-4.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,13.95,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,-22.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,-13.16,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2019-02-01,-9.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2019-03-01,-23.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2019-04-01,-47.83,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2019-05-01,25.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
2019-06-01,-6.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIINCCOUMM10740,Monthly,Not Seasonally Adjusted
