date,Housing Inventory: Price Increased Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-14.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,5.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,-21.05,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,-14.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,-33.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,-52.63,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,18.18,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,43.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,30.77,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-05-01,191.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-06-01,147.06,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-07-01,291.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-08-01,214.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
2018-09-01,200.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count Year-Over-Year in Albuquerque, NM (CBSA)",PRIINCCOUYY10740,Monthly,Not Seasonally Adjusted
