date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-02-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-03-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-04-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-05-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-06-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-07-01,5.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-08-01,5.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-09-01,5.7,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-10-01,5.9,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-11-01,6.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1990-12-01,6.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-01-01,6.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-02-01,6.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-03-01,6.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-04-01,6.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-05-01,6.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-06-01,6.0,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-07-01,5.8,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-08-01,5.6,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-09-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-10-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-11-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1991-12-01,5.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-01-01,5.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-02-01,5.5,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-03-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-04-01,5.4,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-05-01,5.3,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-06-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-07-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-08-01,5.1,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-09-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
1992-10-01,5.2,NM,"Albuquerque, NM",Albuquerque,"Unemployment Rate in Albuquerque, NM (MSA)",ALBU735UR,Monthly,Smoothed Seasonally Adjusted
