year,month,city,state,Housing Inventory: Median Listing Price,Unemployment Rate,All Employees: Federal Government,Housing Inventory: Median Home Size in Square Feet,Housing Inventory: Median Days on Market,Housing Inventory: New Listing Count,All Employees: Financial Activities,All Employees: Education and Health Services,Resident Population,Per Capita Personal Income
2016,7,Atlanta,GA,272000.0,5.1,0.008028489570042442,2558.0,50.0,14848.0,0.02869311569422833,0.05829677215490323,5791.874,48657.0
2016,8,Atlanta,GA,269900.0,5.1,0.008028489570042442,2540.5,52.5,13340.0,0.028765323310598435,0.05844878026744677,5791.874,48657.0
2016,9,Atlanta,GA,270168.0,5.1,0.008028489570042442,2534.0,54.0,13404.0,0.02885224665110809,0.05864845538102832,5791.874,48657.0
2016,10,Atlanta,GA,269900.0,5.1,0.008028489570042442,2528.0,54.0,12996.0,0.028818565746639862,0.05882158339671495,5791.874,48657.0
2016,11,Atlanta,GA,269900.0,5.1,0.008028489570042442,2526.0,56.5,10848.0,0.028886366079690962,0.05886726356600213,5791.874,48657.0
2016,12,Atlanta,GA,269000.0,5.1,0.008028489570042442,2508.0,66.0,8092.0,0.0288994232911909,0.05890353593486047,5791.874,48657.0
2017,1,Atlanta,GA,269900.0,5.0,0.008014616209637858,2504.0,67.5,11676.0,0.028400108338345956,0.05774063452754247,5876.763,51050.0
2017,2,Atlanta,GA,274750.0,5.0,0.008014616209637858,2512.5,53.5,13496.0,0.028491135387138464,0.05802191841294621,5876.763,51050.0
2017,3,Atlanta,GA,282450.0,4.9,0.008014616209637858,2552.5,45.5,15320.0,0.028603628603652217,0.05828786629338056,5876.763,51050.0
2017,4,Atlanta,GA,297000.0,4.8,0.008014616209637858,2623.0,45.0,14924.0,0.02865131327898096,0.058392299663399226,5876.763,51050.0
2017,5,Atlanta,GA,299900.0,4.7,0.008014616209637858,2653.5,45.5,16028.0,0.028785898941158256,0.058533722324436085,5876.763,51050.0
2017,6,Atlanta,GA,299900.0,4.6,0.008014616209637858,2666.0,47.0,14912.0,0.028932393429282752,0.05870656008457225,5876.763,51050.0
2017,7,Atlanta,GA,297984.0,4.5,0.008014616209637858,2624.0,51.0,14776.0,0.028909837251859402,0.0587802467247888,5876.763,51050.0
2017,8,Atlanta,GA,299900.0,4.4,0.008014616209637858,2623.5,51.0,16868.0,0.028950116338250665,0.058917870500713405,5876.763,51050.0
2017,9,Atlanta,GA,299900.0,4.4,0.008014616209637858,2610.0,57.0,15132.0,0.02905499551771817,0.05905828685727807,5876.763,51050.0
2017,10,Atlanta,GA,299900.0,4.3,0.008014616209637858,2600.0,58.0,14652.0,0.02913555084885489,0.05907932523059804,5876.763,51050.0
2017,11,Atlanta,GA,299950.0,4.3,0.008014616209637858,2596.5,58.0,13196.0,0.029146207754476575,0.05925026162225276,5876.763,51050.0
2017,12,Atlanta,GA,300000.0,4.2,0.008014616209637858,2582.0,65.0,10096.0,0.02917415753326244,0.05934233468194124,5876.763,51050.0
2018,1,Atlanta,GA,306950.0,4.2,0.007863703865010448,2587.0,68.0,12432.0,0.028655540786756344,0.0587780243967625,5951.394,53354.0
2018,2,Atlanta,GA,312450.0,4.2,0.007863703865010448,2608.5,54.0,15868.0,0.028879629352690308,0.0590064639972756,5951.394,53354.0
2018,3,Atlanta,GA,324900.0,4.1,0.007863703865010448,2650.0,43.0,17896.0,0.028898338497986693,0.05919984341119711,5951.394,53354.0
2018,4,Atlanta,GA,337000.0,4.0,0.007863703865010448,2710.0,44.0,18660.0,0.028971851020894765,0.059381947708283304,5951.394,53354.0
2018,5,Atlanta,GA,341200.0,3.9,0.007863703865010448,2701.5,43.5,18964.0,0.02898809228356684,0.059551184515557874,5951.394,53354.0
2018,6,Atlanta,GA,339900.0,3.8,0.007863703865010448,2678.0,45.0,19304.0,0.02910063764339027,0.05973587213599788,5951.394,53354.0
