date,All Employees: Accommodation and Food Services,state,msa,city
1990-01-01,385.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,386.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,392.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,396.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,410.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,422.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,412.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,413.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,411.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,398.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,397.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,397.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,362.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,362.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,367.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-04-01,370.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-05-01,380.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-06-01,393.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-07-01,384.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-08-01,384.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-09-01,383.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-10-01,377.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-11-01,377.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-12-01,378.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,350.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-02-01,352.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-03-01,355.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-04-01,365.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-05-01,376.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-06-01,386.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-07-01,379.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-08-01,378.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-09-01,378.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-10-01,373.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-11-01,372.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-12-01,372.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,352.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-02-01,354.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-03-01,353.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-04-01,363.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-05-01,378.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-06-01,388.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-07-01,379.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-08-01,381.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-09-01,382.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-10-01,377.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-11-01,377.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-12-01,381.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-01-01,357.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
