date,All Employees: Administrative and Support and Waste Management and Remediation Services,state,msa,city
1990-01-01,379.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,378.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,383.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,390.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,397.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,400.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,394.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,396.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,397.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,386.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,384.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,379.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,350.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,348.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,354.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-04-01,354.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-05-01,357.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-06-01,361.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-07-01,355.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-08-01,356.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-09-01,358.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-10-01,354.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-11-01,353.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-12-01,350.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
