date,All Employees: Education and Health Services: Health Care and Social Assistance,state,msa,city
1990-01-01,779.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,782.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,788.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,785.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,790.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,796.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,794.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,795.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,799.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,801.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,806.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,811.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,803.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,807.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,813.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-04-01,814.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-05-01,817.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-06-01,823.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-07-01,819.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-08-01,819.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-09-01,822.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-10-01,828.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-11-01,831.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-12-01,837.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,831.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-02-01,835.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-03-01,839.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-04-01,843.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-05-01,847.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-06-01,853.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-07-01,852.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-08-01,851.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-09-01,854.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-10-01,860.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-11-01,863.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-12-01,867.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,862.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-02-01,862.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-03-01,867.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-04-01,871.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-05-01,875.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-06-01,879.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-07-01,880.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-08-01,878.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-09-01,882.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-10-01,890.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-11-01,894.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-12-01,898.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-01-01,885.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-02-01,887.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-03-01,894.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-04-01,900.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-05-01,902.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-06-01,908.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-07-01,906.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-08-01,906.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-09-01,911.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-10-01,916.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-11-01,921.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-12-01,927.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-01-01,918.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-02-01,922.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-03-01,928.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-04-01,927.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-05-01,930.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-06-01,935.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-07-01,931.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-08-01,932.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-09-01,936.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-10-01,940.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-11-01,944.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-12-01,948.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-01-01,930.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-02-01,937.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-03-01,943.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-04-01,943.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-05-01,949.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-06-01,954.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-07-01,949.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-08-01,948.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-09-01,949.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-10-01,958.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-11-01,964.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-12-01,966.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-01-01,953.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-02-01,955.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-03-01,961.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-04-01,963.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-05-01,966.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-06-01,972.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-07-01,971.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-08-01,969.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-09-01,971.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-10-01,976.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-11-01,982.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-12-01,987.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-01-01,976.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-02-01,978.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-03-01,985.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-04-01,989.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-05-01,994.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-06-01,999.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-07-01,998.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-08-01,995.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-09-01,997.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-10-01,1007.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-11-01,1013.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-12-01,1017.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-01-01,1014.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-02-01,1014.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-03-01,1019.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-04-01,1024.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-05-01,1027.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-06-01,1030.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-07-01,1026.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-08-01,1023.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-09-01,1022.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-10-01,1028.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-11-01,1033.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-12-01,1039.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-01-01,1031.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-02-01,1033.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-03-01,1036.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-04-01,1038.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-05-01,1044.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-06-01,1050.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-07-01,1044.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-08-01,1044.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-09-01,1045.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-10-01,1049.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-11-01,1054.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-12-01,1062.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,1042.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-02-01,1045.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-03-01,1051.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-04-01,1052.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-05-01,1059.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-06-01,1065.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-07-01,1062.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-08-01,1061.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-09-01,1060.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-10-01,1072.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-11-01,1079.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-12-01,1087.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,1072.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-02-01,1077.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-03-01,1083.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-04-01,1088.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-05-01,1092.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-06-01,1097.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-07-01,1095.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-08-01,1092.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-09-01,1095.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-10-01,1105.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-11-01,1110.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
