date,All Employees: Education and Health Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,6.88823162931201,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-02-01,6.96424899379798,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-03-01,7.04443515339934,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-04-01,7.03064722067436,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-05-01,7.1134135856392,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-06-01,7.18394558570471,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-07-01,7.051652542643531,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-08-01,7.18133984970236,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-09-01,7.21452281910359,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-10-01,7.2059766636448,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-11-01,7.260158794462559,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1990-12-01,7.357212226295331,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-01-01,6.99217888341704,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-02-01,7.07468608123978,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-03-01,7.14765177907946,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-04-01,6.923689463670651,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-05-01,6.809262588289251,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-06-01,6.7832714686045,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-07-01,6.943739078151831,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-08-01,7.073841767168711,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-09-01,7.1111036488708095,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-10-01,7.11206732679463,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-11-01,7.168616496237361,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1991-12-01,7.16158829099445,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-01-01,7.194848787615559,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-02-01,7.1927981977324995,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-03-01,7.25064916590845,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-04-01,7.30632354634154,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-05-01,7.3045318495999805,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-06-01,7.2791453344371995,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-07-01,7.43674106322397,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-08-01,7.258845272319269,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-09-01,6.80561766703073,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-10-01,7.42102383635581,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
1992-11-01,7.384371502063059,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Education and Health Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006500000001SA,Monthly,Seasonally Adjusted
