date,All Employees: Federal Government,state,msa,city
1990-01-01,173.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,165.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,162.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,157.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-01-01,155.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-01-01,154.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-01-01,151.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-01-01,147.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-01-01,146.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-01-01,147.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-01-01,152.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,145.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,142.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,139.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,135.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,133.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,132.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,132.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,130.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,129.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,133.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,119.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,114.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,112.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,111.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,111.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,112.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,112.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,110.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,110.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,115.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-01-01,85.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-02-01,84.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-03-01,85.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-04-01,88.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-05-01,94.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-06-01,95.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-07-01,92.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-08-01,88.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-09-01,84.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-10-01,83.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-11-01,84.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-12-01,85.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
