date,All Employees: Financial Activities: Finance and Insurance,state,msa,city
1990-01-01,683.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,683.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,683.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,677.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,676.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,680.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,676.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,675.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,670.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,664.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,663.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,665.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,649.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,647.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,647.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-04-01,644.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-05-01,644.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-06-01,647.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-07-01,643.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-08-01,641.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-09-01,636.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-10-01,631.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-11-01,632.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-12-01,635.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,619.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-02-01,620.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-03-01,621.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-04-01,618.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-05-01,619.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-06-01,623.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-07-01,622.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-08-01,620.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-09-01,615.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-10-01,613.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-11-01,611.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-12-01,613.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,605.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-02-01,607.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-03-01,607.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-04-01,599.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-05-01,600.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-06-01,605.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-07-01,605.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-08-01,608.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-09-01,605.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-10-01,605.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-11-01,607.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-12-01,611.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-01-01,605.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-02-01,606.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-03-01,608.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-04-01,609.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-05-01,609.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-06-01,616.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-07-01,615.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-08-01,615.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-09-01,612.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-10-01,605.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-11-01,607.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-12-01,610.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-01-01,603.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-02-01,604.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-03-01,604.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-04-01,599.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-05-01,598.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-06-01,603.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-07-01,600.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-08-01,601.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-09-01,599.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
