date,All Employees: Financial Activities: Insurance Carriers and Related Activities,state,msa,city
1990-01-01,209.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,210.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,211.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,210.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,210.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,211.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,210.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,209.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,208.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,206.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,206.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,206.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,205.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,205.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,205.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-04-01,205.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-05-01,206.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-06-01,206.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-07-01,203.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-08-01,202.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-09-01,201.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-10-01,201.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-11-01,201.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-12-01,202.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,199.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-02-01,200.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-03-01,200.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-04-01,197.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-05-01,198.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
