date,All Employees: Goods Producing,state,msa,city
1990-01-01,1220.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-02-01,1225.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-03-01,1238.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-04-01,1226.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-05-01,1237.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-06-01,1249.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-07-01,1225.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-08-01,1234.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-09-01,1230.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-10-01,1210.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-11-01,1191.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-12-01,1167.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,1080.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-02-01,1081.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-03-01,1088.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-04-01,1091.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-05-01,1101.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-06-01,1112.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-07-01,1087.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-08-01,1098.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-09-01,1105.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-10-01,1096.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-11-01,1087.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-12-01,1064.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,1000.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-02-01,999.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
