date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,5.3088975712231,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-02-01,5.31832726403603,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-03-01,5.2603403054124405,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-04-01,5.30235298758807,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-05-01,5.294268610943679,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-06-01,5.16781229709439,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-07-01,5.28579404163664,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-08-01,5.28995909242749,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-09-01,5.1669674286352905,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-10-01,5.24058462605391,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-11-01,5.23957926078097,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1990-12-01,5.31465153051925,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1991-01-01,6.121552420569169,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1991-02-01,5.2166897930418,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
1991-03-01,5.25794247887151,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Government in Bloomsburg-Berwick, PA (MSA)",SMU42141009000000001SA,Monthly,Seasonally Adjusted
