date,All Employees: Health Care and Social Assistance,state,msa,city
1990-01-01,794.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,819.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,850.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,878.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-01-01,905.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-01-01,933.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-01-01,949.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-01-01,969.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-01-01,996.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-01-01,1025.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-01-01,1044.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,1061.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,1093.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,1121.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,1137.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,1157.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,1180.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,1203.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,1224.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,1248.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,1272.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,1291.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,1311.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,1336.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,1370.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,1411.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,1458.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,1510.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,1569.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,1639.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,1551.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-01-01,386.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-02-01,389.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-03-01,391.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-04-01,392.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-05-01,391.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-06-01,393.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-07-01,392.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-08-01,391.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-09-01,393.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-10-01,396.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-11-01,397.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-12-01,399.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-01-01,389.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-02-01,392.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-03-01,393.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-04-01,398.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-05-01,399.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-06-01,399.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
