date,All Employees: Management of Companies and Enterprises,state,msa,city,title,id,frequency,seasonal_adjustment
2007-01-01,34.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2008-01-01,37.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2009-01-01,38.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2010-01-01,39.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2011-01-01,40.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2012-01-01,41.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2013-01-01,41.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2014-01-01,42.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2015-01-01,40.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2016-01-01,40.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2017-01-01,39.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2018-01-01,38.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2019-01-01,38.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
2020-01-01,39.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Management of Companies and Enterprises in Cincinnati, OH-KY-IN (MSA)",SMU39171406055000001A,Annual,Not Seasonally Adjusted
1990-01-01,28.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1991-01-01,29.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1992-01-01,31.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1993-01-01,33.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1994-01-01,35.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1995-01-01,37.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1996-01-01,40.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1997-01-01,41.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1998-01-01,43.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1999-01-01,46.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2000-01-01,48.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2001-01-01,48.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2002-01-01,47.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2003-01-01,48.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2004-01-01,48.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2005-01-01,47.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2006-01-01,45.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2007-01-01,42.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2008-01-01,39.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2009-01-01,34.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2010-01-01,34.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2011-01-01,36.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2012-01-01,39.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2013-01-01,40.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2014-01-01,40.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2015-01-01,42.5,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2016-01-01,45.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2017-01-01,47.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2018-01-01,49.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2019-01-01,50.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
2020-01-01,50.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Management of Companies and Enterprises in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206055000001A,Annual,Not Seasonally Adjusted
1990-01-01,7.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Management of Companies and Enterprises in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206055000001A,Annual,Not Seasonally Adjusted
1991-01-01,13.4,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Management of Companies and Enterprises in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206055000001A,Annual,Not Seasonally Adjusted
1992-01-01,13.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Management of Companies and Enterprises in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206055000001A,Annual,Not Seasonally Adjusted
1993-01-01,12.8,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Management of Companies and Enterprises in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206055000001A,Annual,Not Seasonally Adjusted
1994-01-01,7.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Management of Companies and Enterprises in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206055000001A,Annual,Not Seasonally Adjusted
1995-01-01,12.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Management of Companies and Enterprises in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206055000001A,Annual,Not Seasonally Adjusted
