date,All Employees: Other Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,2.65341817587976,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-02-01,2.65917919553957,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-03-01,2.64629591669032,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-04-01,2.69814338688422,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-05-01,2.66812702712017,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-06-01,2.67120674253516,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-07-01,2.7016365323582203,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-08-01,2.8084486714655,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-09-01,2.7458616700681096,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-10-01,2.77587576598902,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-11-01,2.78395760784175,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1990-12-01,2.6847996655853503,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-01-01,2.85619112404222,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-02-01,2.86272322144261,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-03-01,2.84963260596173,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-04-01,2.80111102496956,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-05-01,2.8692285612342103,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-06-01,2.86677374113725,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-07-01,2.79703472850419,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-08-01,2.8042893631250503,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-09-01,2.84843335684161,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-10-01,2.7773991866765497,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-11-01,2.7850604231,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1991-12-01,2.7863430446229303,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-01-01,2.75452440876413,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-02-01,2.75632172473243,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-03-01,2.84670430289894,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-04-01,2.8092555522985,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-05-01,2.7732691328083803,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-06-01,2.75984908707954,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-07-01,2.8916780278906695,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-08-01,2.80122853301853,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-09-01,2.8534172985485298,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-10-01,2.8820920222343998,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-11-01,2.8865479373176,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1992-12-01,2.8907319105441,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-01-01,2.8558330577048703,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-02-01,2.84973977079918,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-03-01,2.84020706597305,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-04-01,2.9157074094693303,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-05-01,2.9808741379566097,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-06-01,2.94899754025483,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-07-01,2.98133344543035,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-08-01,2.9998388068750095,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-09-01,2.9606630233547504,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-10-01,2.98799919532296,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-11-01,2.98544459004177,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1993-12-01,2.99765126551579,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-01-01,3.05823033947615,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-02-01,3.0427905122934504,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-03-01,3.0373759956907795,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-04-01,3.0222755590977903,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-05-01,2.98838033824049,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-06-01,3.0379420866055096,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-07-01,3.0713904947786896,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
1994-08-01,3.09731787447132,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Other Services in Burlington-South Burlington, VT (NECTA)",BURL450SRVO,Monthly,Seasonally Adjusted
