date,All Employees: Retail Trade: Food and Beverage Stores,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,20.0163415811459,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-02-01,19.951818789276302,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-03-01,20.021019136565698,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-04-01,20.045586144784103,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-05-01,19.9779527245685,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-06-01,19.983138694416102,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-07-01,20.2050437568986,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-08-01,20.261715435188197,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-09-01,20.213791231283604,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-10-01,20.150933181310002,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
1990-11-01,20.1484186317603,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Retail Trade: Food and Beverage Stores in Cincinnati, OH-KY-IN (MSA)",SMU39171404244500001SA,Monthly,Seasonally Adjusted
