date,All Employees: Retail Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,12.4849846236596,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-02-01,12.491095183131002,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-03-01,12.6215835660799,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-04-01,12.337589639797,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-05-01,12.2290688469066,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-06-01,12.3095016027448,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-07-01,12.292629849107803,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-08-01,12.275720032342301,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-09-01,12.330515598782599,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-10-01,12.117604763269998,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-11-01,12.200458793467,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1990-12-01,12.013883916672098,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-01-01,11.7842448823172,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-02-01,11.6847112796296,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-03-01,11.6151255371916,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-04-01,11.6409691004787,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-05-01,11.533844225037999,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-06-01,11.5064724375534,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-07-01,11.4916012010197,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-08-01,11.475645748805599,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-09-01,11.4347650774806,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-10-01,11.4293818117295,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-11-01,11.3024143019977,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1991-12-01,11.3117804808352,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-01-01,11.4853924420032,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-02-01,11.4715207155866,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-03-01,11.5015178920656,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-04-01,11.546304922458999,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-05-01,11.6388351753773,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-06-01,11.599252424893999,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-07-01,11.585347481942302,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
1992-08-01,11.5792576504882,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Retail Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004200000001SA,Monthly,Seasonally Adjusted
