date,"All Employees: Trade, Transportation, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,6.02634039521912,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-02-01,6.169034323189349,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-03-01,6.110374200786951,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-04-01,6.0039976788706895,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-05-01,5.93646129834875,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-06-01,5.88114910641646,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-07-01,5.770975924097789,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-08-01,5.7506870408155795,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-09-01,5.780691557492089,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
1990-10-01,6.05907868630656,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Trade, Transportation, and Utilities in Bloomsburg-Berwick, PA (MSA)",SMU42141004000000001SA,Monthly,Seasonally Adjusted
