date,All Employees: Wholesale Trade,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,3.7282010537337498,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-02-01,3.70799392548806,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-03-01,3.67282617196344,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-04-01,3.7270229206640697,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-05-01,3.72335061742299,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-06-01,3.6356665440537297,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-07-01,3.6994324416496402,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-08-01,3.69086452060052,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-09-01,3.6933426938380296,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-10-01,3.7438929627487303,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-11-01,3.7138608795375494,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1990-12-01,3.76461442966999,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-01-01,3.72962185601902,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-02-01,3.70585886656119,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-03-01,3.77164238671844,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-04-01,3.83180560409415,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-05-01,3.7195340496422595,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-06-01,3.7342958371169597,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
1991-07-01,3.60137159422036,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Wholesale Trade in Burlington-South Burlington, VT (NECTA)",SMU50724004100000001SA,Monthly,Seasonally Adjusted
