date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2011-01-01,18.4040370612029,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-02-01,18.3355292853269,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-03-01,18.5645955543307,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-04-01,18.7169614329362,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-05-01,18.147611641101197,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-06-01,18.2304851279152,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-07-01,18.0938901000399,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-08-01,18.277133976247,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-09-01,17.8606747528195,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-10-01,17.9027786399662,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-11-01,18.4814539954241,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
2011-12-01,18.433964960249103,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Hourly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000003SA,Monthly,Seasonally Adjusted
