date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,0.47,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,-1.58,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,-0.3,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,1.2,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,-1.63,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,-6.1,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,-5.44,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,1.77,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,3.46,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,2.95,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-05-01,1.81,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",ACTLISCOUMM16700,Monthly,Not Seasonally Adjusted
