date,Housing Inventory: Active Listing Count,state,msa,city
2016-07-01,82988.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-08-01,80782.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-09-01,78791.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-10-01,77253.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-11-01,73287.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-12-01,65979.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,60777.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-02-01,63097.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-03-01,66269.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-04-01,69038.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-05-01,75384.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-06-01,76736.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,76259.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,76479.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,74694.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,73816.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,69451.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,62462.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,57187.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,60843.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,64252.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,69662.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,76071.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,79722.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,80369.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,79480.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,80337.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,80917.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,78103.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,70729.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,65203.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,67311.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
