date,Housing Inventory: Average Listing Price Year-Over-Year,state,msa,city
2017-07-01,18.44,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,19.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,18.18,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,13.19,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,7.79,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,7.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,11.23,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,8.64,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,6.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,-0.07,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,1.13,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,0.87,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,2.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,-2.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,-2.64,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,-1.44,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,0.05,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,-0.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,-5.31,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,-6.51,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,-4.08,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,-2.39,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,-3.05,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,-1.52,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,-2.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,0.76,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,0.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,2.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,2.06,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,5.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,5.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,4.38,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,3.26,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,8.86,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,4.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-06-01,4.88,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-07-01,7.69,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-08-01,17.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-09-01,18.81,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-10-01,21.46,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-11-01,18.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-12-01,18.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-01-01,21.73,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-02-01,22.85,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-03-01,21.96,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-04-01,15.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-05-01,19.44,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-06-01,16.17,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-07-01,11.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-08-01,12.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-09-01,14.03,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-10-01,10.67,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-11-01,21.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,7.84,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,5.62,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,4.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,5.28,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,5.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,4.88,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,5.02,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,4.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,5.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,4.37,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,3.35,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,2.04,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,1.36,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,1.14,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,0.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,-0.71,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,-0.63,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,-1.21,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,-2.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,-1.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,-2.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,-1.73,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,-1.91,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,-1.07,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,-0.55,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,0.01,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,-0.38,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,1.23,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,0.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-12-01,1.53,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,0.71,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-02-01,0.89,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-03-01,-0.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
