date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,646702.4997,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2016-08-01,641563.407,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2016-09-01,641693.8937,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2016-10-01,637680.1999,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2016-11-01,639487.6038,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2016-12-01,650538.4308,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-01-01,662142.6835,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-02-01,674670.8897,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-03-01,693293.6715,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-04-01,694407.0468,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-05-01,691659.4343,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-06-01,692979.0721,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-07-01,683828.1779,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-08-01,684387.4799,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-09-01,680551.0617,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-10-01,673453.4375,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-11-01,672247.8591,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2017-12-01,682840.0256,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2018-01-01,682951.9184,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2018-02-01,692337.3795,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2018-03-01,710038.6908,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
2018-04-01,721507.2712,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price in Charleston-North Charleston, SC (CBSA)",AVELISPRI16700,Monthly,Not Seasonally Adjusted
