date,Housing Inventory: Median Days on Market Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,4.8951049,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,7.3333333,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,5.5900621,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,0.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,-1.1764706,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,7.1428571,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,11.6666667,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,-4.4776119,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,-33.3333333,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,2.34375,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-05-01,2.2900763,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-06-01,5.9701493,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-07-01,2.8169014,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-08-01,6.8493151,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-09-01,2.5641026,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-10-01,1.25,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-11-01,4.3209877,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2018-12-01,7.6923077,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-01-01,6.043956,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-02-01,-3.626943,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-03-01,-29.0322581,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-04-01,-0.7575758,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-05-01,4.5801527,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-06-01,3.649635,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-07-01,4.2253521,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
2019-08-01,5.4054054,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARMM16700,Monthly,Not Seasonally Adjusted
