date,Housing Inventory: Median Days on Market Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-2.5974026,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2017-08-01,-1.8292683,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2017-09-01,-1.1627907,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2017-10-01,-7.6086957,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2017-11-01,-11.1111111,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2017-12-01,-10.8910891,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2018-01-01,-7.3732719,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2018-02-01,1.5873016,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2018-03-01,-5.1851852,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2018-04-01,7.3770492,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2018-05-01,0.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
2018-06-01,-0.6993007,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Days on Market Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDDAYONMARYY16700,Monthly,Not Seasonally Adjusted
