date,Housing Inventory: Median Home Size in Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-0.13,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,-0.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,-0.54,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,-0.85,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,-0.09,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,0.42,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,-0.02,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,0.72,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,0.04,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,0.52,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDSQUFEEMM16700,Monthly,Not Seasonally Adjusted
