date,Housing Inventory: Median Listing Price Month-Over-Month,state,msa,city
2017-07-01,-1.26,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,-1.94,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,1.15,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,0.73,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-0.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,-1.05,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,0.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,4.16,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,4.01,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,2.78,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,2.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,0.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,0.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,-3.01,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,0.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,0.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,-0.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,-1.87,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,-0.95,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,1.63,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,2.31,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,2.92,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,2.34,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,-0.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,-1.67,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,-0.98,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
