date,Housing Inventory: Median Listing Price per Square Feet Year-Over-Year,state,msa,city
2017-07-01,12.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,11.81,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,11.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,9.76,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,7.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,7.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,8.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,9.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,11.36,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,10.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,9.16,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,9.79,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,9.82,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,9.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,10.83,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,10.86,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,12.16,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,12.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,11.56,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,8.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,6.08,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,6.31,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,5.76,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,5.06,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,4.66,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,5.06,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,2.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,6.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,6.85,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,8.71,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,7.63,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,7.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,7.37,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,8.58,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,8.78,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-06-01,9.79,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-07-01,18.78,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-08-01,33.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-09-01,39.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-10-01,43.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-11-01,37.85,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-12-01,38.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-01-01,43.92,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-02-01,42.22,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-03-01,40.96,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-04-01,40.16,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-05-01,37.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-06-01,31.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-07-01,19.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-08-01,11.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-09-01,9.86,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-10-01,4.53,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-11-01,17.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,5.96,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,5.57,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,5.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,5.99,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,5.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,6.26,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,5.98,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,6.26,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,7.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,7.51,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,6.78,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,5.87,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,5.59,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,5.49,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,4.87,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,4.16,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,4.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,4.51,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,4.54,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,4.06,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,2.73,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,3.16,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,2.57,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,3.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,2.52,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,2.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,1.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,1.21,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,0.91,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-12-01,1.28,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,1.52,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-02-01,1.74,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-03-01,0.48,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-04-01,-2.33,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-05-01,-0.82,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-06-01,2.22,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-07-01,6.33,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-08-01,10.81,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-09-01,15.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-10-01,18.02,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-11-01,19.6,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-12-01,20.41,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-01-01,22.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-02-01,25.96,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-03-01,27.31,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-04-01,29.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-05-01,26.41,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-06-01,20.37,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-07-01,14.44,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-08-01,9.06,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-09-01,4.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-10-01,3.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-11-01,2.44,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-07-01,5.03,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-08-01,4.01,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-09-01,3.25,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-10-01,2.62,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-11-01,2.53,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-12-01,3.15,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-01-01,3.54,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
