date,Housing Inventory: Median Listing Price,state,msa,city
2016-07-01,428000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-08-01,424950.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-09-01,427000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-10-01,434900.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-11-01,439450.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-12-01,435000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,429000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-02-01,447000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-03-01,459000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-04-01,475136.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-05-01,494000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-06-01,495260.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,489000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,479500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,485000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,488528.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,485000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,479900.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,479990.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,499950.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,520000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,534450.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,549000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,549000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,549000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,532450.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,535000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,538312.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,535000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,525000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,520000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,528500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,540714.2857,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,556500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,569500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,569000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,559500.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,553989.1429,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,550461.1429,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,558028.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,550000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,553527.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,549000.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
