date,Housing Inventory: New Listing Count Month-Over-Month,state,msa,city
2017-07-01,-10.39,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,-4.88,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,-2.59,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,1.57,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-18.84,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,-31.18,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,48.25,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,22.28,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,9.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,24.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,2.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,-11.73,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,-9.36,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,-7.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,12.82,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,-9.85,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,-17.28,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,-29.71,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,55.97,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,0.77,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,22.26,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,18.26,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,7.15,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,-13.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,-17.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,10.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,4.87,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,-20.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,-13.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,-42.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,85.56,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,14.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,-6.55,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,-58.79,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,118.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
