date,Housing Inventory: New Listing Count Year-Over-Year,state,msa,city
2017-07-01,12.88,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,25.18,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,0.89,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,17.36,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-1.04,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,8.26,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,4.55,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,5.98,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,-4.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,12.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,4.77,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,5.08,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,6.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,3.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,19.45,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,6.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,8.06,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,10.36,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,16.11,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,-4.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,6.85,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,1.63,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,6.34,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,4.52,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,-4.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,14.02,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,5.99,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,-6.28,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,-2.05,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,-19.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,-4.01,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,8.91,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,-16.75,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,-70.99,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,-40.92,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-06-01,-1.35,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-07-01,24.12,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-08-01,9.25,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-09-01,5.72,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-10-01,28.06,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-11-01,3.49,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-12-01,21.56,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-01-01,-9.63,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-02-01,-26.88,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-03-01,9.11,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-04-01,203.24,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-05-01,46.29,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-06-01,-1.07,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-07-01,-15.61,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-08-01,-9.78,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-09-01,-12.61,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-10-01,-18.43,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-11-01,-6.77,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,3.85,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,5.88,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,-3.91,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,2.29,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,4.97,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,7.83,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,-1.71,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,-11.72,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,1.47,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,6.35,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,8.04,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,5.07,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,7.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,6.35,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,15.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,12.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,6.21,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,8.09,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,5.41,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,7.34,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,-2.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,9.89,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,0.24,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,7.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,0.86,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,4.69,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,0.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,2.12,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,-7.57,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-12-01,-2.87,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,3.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-02-01,1.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-03-01,-10.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-04-01,-53.21,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-05-01,-30.47,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-06-01,-19.89,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-07-01,-10.72,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-08-01,-8.94,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-09-01,-7.38,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-10-01,-8.01,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-11-01,-2.16,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-12-01,-0.53,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-01-01,-22.29,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-02-01,-35.26,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-03-01,-22.49,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-04-01,46.84,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-05-01,8.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-06-01,3.12,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-07-01,0.14,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-08-01,-4.87,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-09-01,-7.24,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-10-01,-8.57,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-11-01,-6.91,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-07-01,4.97,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-08-01,7.29,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
