date,Housing Inventory: New Listing Count,state,msa,city
2016-07-01,19448.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-08-01,16680.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-09-01,20160.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-10-01,17604.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-11-01,16944.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-12-01,10660.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,16364.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-02-01,19740.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-03-01,23932.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-04-01,25420.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-05-01,27832.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-06-01,24496.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,21952.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,20880.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,20340.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,20660.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,16768.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,11540.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,17108.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,20920.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,22904.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,28476.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,29160.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,25740.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,23332.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,21536.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,24296.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
