date,Housing Inventory: Pending Listing Count Year-Over-Year,state,msa,city
2017-07-01,10.83,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,-9.67,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,-11.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,-8.59,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-17.21,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,-17.58,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,-18.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,-23.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,-24.46,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,-24.15,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,-26.15,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,-18.77,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,-19.11,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,-3.07,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,-1.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,-5.92,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,-2.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,1.23,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,-1.28,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,5.18,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,0.55,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,-5.46,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,10.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,2.16,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,2.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,62.15,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,136.32,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,138.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,139.21,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,123.86,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,131.86,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,123.53,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,139.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,200.11,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
