date,Housing Inventory: Price Increased Count Month-Over-Month,state,msa,city
2017-07-01,-2.54,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,8.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,-15.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,-10.85,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,-7.94,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,-17.82,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,7.69,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,23.38,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,9.47,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,4.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,1.84,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-06-01,-2.26,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-07-01,-6.94,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-08-01,0.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-09-01,3.48,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-10-01,-10.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-11-01,-11.76,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-12-01,-12.73,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,8.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-02-01,-5.77,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-03-01,6.12,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-04-01,17.31,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-05-01,-2.73,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-06-01,5.62,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-07-01,-3.19,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-08-01,157.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-09-01,55.98,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-10-01,-78.49,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-11-01,-0.64,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-12-01,-32.05,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-01-01,65.09,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-02-01,-13.71,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-03-01,-20.53,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-04-01,-38.33,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-05-01,112.16,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-06-01,53.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-07-01,9.13,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-08-01,-1.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-09-01,9.23,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-10-01,-20.07,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-11-01,-13.66,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2020-12-01,-7.14,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-01-01,25.27,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-02-01,-18.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-03-01,22.04,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-04-01,11.01,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-05-01,-1.59,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-06-01,2.42,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-07-01,-5.12,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-08-01,-8.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-09-01,-1.36,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-10-01,-3.21,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2021-11-01,10.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,-0.44,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-08-01,-25.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-09-01,-9.61,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-10-01,-15.18,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-11-01,-4.35,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-12-01,-10.16,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-01-01,-20.54,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-02-01,6.37,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-03-01,47.54,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-04-01,40.81,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-05-01,8.81,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-06-01,11.53,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-07-01,-14.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-08-01,-16.75,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-09-01,-15.63,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-10-01,-13.43,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-11-01,-16.58,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2018-12-01,-5.77,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-01-01,-17.35,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-02-01,5.76,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-03-01,-23.74,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-04-01,-56.63,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-05-01,-1.18,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-06-01,-9.52,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-07-01,3.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-08-01,393.67,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-09-01,40.26,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-10-01,-89.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-11-01,25.86,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2019-12-01,-23.29,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-01-01,26.79,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-02-01,7.04,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-03-01,9.21,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-04-01,-30.12,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-05-01,5.17,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-06-01,45.9,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-07-01,26.97,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-08-01,30.97,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-09-01,-11.49,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-10-01,6.11,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-11-01,-29.5,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2020-12-01,0.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-01-01,76.53,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-02-01,0.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-03-01,-9.25,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-04-01,-21.66,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-05-01,28.46,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-06-01,-29.75,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-07-01,-33.33,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-08-01,-24.32,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-09-01,3.57,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-10-01,5.17,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2021-11-01,22.95,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago
2017-07-01,8.43,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-08-01,-5.77,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-09-01,-17.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-10-01,-11.36,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-11-01,-12.14,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2017-12-01,9.73,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-01-01,-27.13,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-02-01,22.38,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-03-01,20.28,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-04-01,4.13,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
2018-05-01,-63.65,TX,"Dallas-Fort Worth-Arlington, TX",Dallas
