date,Housing Inventory: Price Reduced Count,state,msa,city
2016-07-01,15004.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-08-01,13944.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-09-01,15280.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-10-01,13812.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-11-01,11752.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-12-01,6852.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,8728.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-02-01,9028.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-03-01,10652.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-04-01,12324.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-05-01,14692.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-06-01,16020.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-07-01,14884.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-08-01,14964.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-09-01,14616.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-10-01,14868.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-11-01,11732.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-12-01,6972.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,8632.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-02-01,9204.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-03-01,9844.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-04-01,13588.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-05-01,15640.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
