date,Per Capita Personal Income,state,msa,city
1969-01-01,4958,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1970-01-01,5290,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1971-01-01,5617,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1972-01-01,6039,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1973-01-01,6480,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1974-01-01,7020,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1975-01-01,7599,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1976-01-01,8112,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1977-01-01,8850,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1978-01-01,9757,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1979-01-01,10724,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1980-01-01,12015,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1981-01-01,13426,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1982-01-01,14544,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1983-01-01,15629,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1984-01-01,17216,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1985-01-01,18376,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1986-01-01,19590,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1987-01-01,21015,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1988-01-01,23146,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1989-01-01,24914,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1990-01-01,26612,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1991-01-01,26426,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1992-01-01,27894,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1993-01-01,28532,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1994-01-01,29273,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1995-01-01,30869,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1996-01-01,32507,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1997-01-01,34296,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1998-01-01,36209,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
1999-01-01,37968,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2000-01-01,41042,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2001-01-01,42343,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2002-01-01,42013,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2003-01-01,42401,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2004-01-01,44354,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2005-01-01,46304,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2006-01-01,50278,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2007-01-01,54116,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,54621,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,52541,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,54337,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,56950,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,59622,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,60169,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,62853,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,65567,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,68000,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,72163,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,75166,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,77911,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
