date,Regional Price Parities,state,msa,city
2008-01-01,120.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,121.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,122.2,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,122.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,122.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,121.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,121.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,122.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,123.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,124.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,125.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,125.7,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,107.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,107.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,108.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,108.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,109.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,109.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,109.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,109.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,109.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,109.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,109.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,109.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,118.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,118.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,119.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,119.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,118.6,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,116.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,116.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,117.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,120.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,123.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,123.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,123.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,155.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2009-01-01,157.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2010-01-01,155.4,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2011-01-01,156.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2012-01-01,157.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2013-01-01,156.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2014-01-01,156.1,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2015-01-01,155.3,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2016-01-01,155.0,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2017-01-01,153.5,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2018-01-01,152.9,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2019-01-01,151.8,NY,"New York-Newark-Jersey City, NY-NJ-PA",New York
2008-01-01,116.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,116.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
